,model,sequence,activationDense,optimizer,dropout1,units,epochs,batchsize,validation_split,RMSE,MSE,MAE,Time
0,DNN,3d,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.07259098440408707,0.005269451532512903,0.06482307612895966,71.30935168266296
0,DNN,3d,tanh,adamax,0.795696407994891,97,98,43,0.1,0.043399129062891006,0.001883484423160553,0.025155238807201385,173.19090485572815
0,DNN,3d,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.0446569062769413,0.001994239166378975,0.025375930592417717,64.9166271686554
0,DNN,3d,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04288733750581741,0.0018393236678093672,0.025065744295716286,173.98967957496643
0,DNN,3d,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.043123770505189896,0.0018596595618873835,0.025107089430093765,64.558354139328
0,DNN,7d,tanh,adam,0.795696407994891,97,98,43,0.1,0.0463547520339489,0.002148763043805957,0.025838930159807205,313.3182635307312
0,DNN,7d,tanh,adam,0.7794062193640215,22,85,23,0.2,0.04723279923200607,0.002230937359854579,0.026042353361845016,138.09410881996155
0,DNN,7d,sigmoid,adam,0.795696407994891,97,98,43,0.1,0.047343287616968155,0.0022413870319724083,0.026064686477184296,315.68565702438354
0,DNN,7d,sigmoid,adam,0.7794062193640215,22,85,23,0.2,0.04724181815981865,0.0022317892871797085,0.026050599291920662,137.95492219924927
0,DNN,7d,tanh,adadelta,0.795696407994891,97,98,43,0.1,0.2049841284751892,0.04201849177479744,0.20247621834278107,314.88357043266296
0,DNN,7d,tanh,adadelta,0.7794062193640215,22,85,23,0.2,0.1666983664035797,0.027788346633315086,0.1640143245458603,137.03246068954468
0,DNN,7d,sigmoid,adadelta,0.795696407994891,97,98,43,0.1,0.06525858491659164,0.004258682951331139,0.05663116276264191,314.3203213214874
0,DNN,7d,sigmoid,adadelta,0.7794062193640215,22,85,23,0.2,0.06737083196640015,0.004538828507065773,0.05901944264769554,137.80939745903015
0,DNN,7d,tanh,adamax,0.795696407994891,97,98,43,0.1,0.04661015793681145,0.002172506880015135,0.025899749249219894,315.8593010902405
0,DNN,7d,tanh,adamax,0.7794062193640215,22,85,23,0.2,0.04750426858663559,0.0022566555999219418,0.02613947167992592,138.19904589653015
0,DNN,7d,sigmoid,adamax,0.795696407994891,97,98,43,0.1,0.04749424383044243,0.0022557033225893974,0.02609957382082939,316.2880046367645
0,DNN,7d,sigmoid,adamax,0.7794062193640215,22,85,23,0.2,0.047244299203157425,0.0022320239804685116,0.02604685351252556,138.2881453037262
