PM25,Anomaly,Time,Model
4,FALSE,2021-01-02T00:42:25Z,LSTM
4,FALSE,2021-01-02T00:52:25Z,LSTM
1,FALSE,2021-01-02T01:02:25Z,LSTM
1,FALSE,2021-01-02T01:12:25Z,LSTM
1,FALSE,2021-01-02T01:22:25Z,LSTM
4,FALSE,2021-01-02T00:32:25Z,GRU
4,FALSE,2021-01-02T00:42:25Z,GRU
4,FALSE,2021-01-02T00:52:25Z,GRU
1,FALSE,2021-01-02T01:02:25Z,GRU
1,FALSE,2021-01-02T01:12:25Z,GRU
1,FALSE,2021-01-02T01:22:25Z,GRU
4,FALSE,2021-01-02T00:32:25Z,DNN
4,FALSE,2021-01-02T00:42:25Z,DNN
4,FALSE,2021-01-02T00:52:25Z,DNN
1,FALSE,2021-01-02T01:02:25Z,DNN
1,FALSE,2021-01-02T01:12:25Z,DNN
1,FALSE,2021-01-02T01:22:25Z,DNN
4,FALSE,2021-01-02T00:32:25Z,Isolation Forest
4,FALSE,2021-01-02T00:42:25Z,Isolation Forest
4,FALSE,2021-01-02T00:52:25Z,Isolation Forest
1,FALSE,2021-01-02T01:02:25Z,Isolation Forest
1,FALSE,2021-01-02T01:12:25Z,Isolation Forest
1,FALSE,2021-01-02T01:22:25Z,Isolation Forest
4,FALSE,2021-01-02T01:32:36Z,LSTM
4,FALSE,2021-01-02T01:42:36Z,LSTM
4,FALSE,2021-01-02T01:52:36Z,LSTM
4,FALSE,2021-01-02T02:02:36Z,LSTM
4,FALSE,2021-01-02T02:12:36Z,LSTM
4,FALSE,2021-01-02T02:22:36Z,LSTM
4,FALSE,2021-01-02T01:32:36Z,GRU
4,FALSE,2021-01-02T01:42:36Z,GRU
4,FALSE,2021-01-02T01:52:36Z,GRU
4,FALSE,2021-01-02T02:02:36Z,GRU
4,FALSE,2021-01-02T02:12:36Z,GRU
4,FALSE,2021-01-02T02:22:36Z,GRU
4,FALSE,2021-01-02T01:32:36Z,DNN
4,FALSE,2021-01-02T01:42:36Z,DNN
4,FALSE,2021-01-02T01:52:36Z,DNN
4,FALSE,2021-01-02T02:02:36Z,DNN
4,FALSE,2021-01-02T02:12:36Z,DNN
4,FALSE,2021-01-02T02:22:36Z,DNN
4,FALSE,2021-01-02T01:32:36Z,Isolation Forest
4,FALSE,2021-01-02T01:42:36Z,Isolation Forest
4,FALSE,2021-01-02T01:52:36Z,Isolation Forest
4,FALSE,2021-01-02T02:02:36Z,Isolation Forest
4,FALSE,2021-01-02T02:12:36Z,Isolation Forest
4,FALSE,2021-01-02T02:22:36Z,Isolation Forest
4,TRUE,2021-01-02T02:32:46Z,LSTM
1,FALSE,2021-01-02T02:42:46Z,LSTM
1,FALSE,2021-01-02T02:52:46Z,LSTM
1,FALSE,2021-01-02T03:02:46Z,LSTM
1,FALSE,2021-01-02T03:12:46Z,LSTM
1,FALSE,2021-01-02T03:22:46Z,LSTM
4,TRUE,2021-01-02T02:32:46Z,GRU
1,FALSE,2021-01-02T02:42:46Z,GRU
1,FALSE,2021-01-02T02:52:46Z,GRU
1,FALSE,2021-01-02T03:02:46Z,GRU
1,FALSE,2021-01-02T03:12:46Z,GRU
1,FALSE,2021-01-02T03:22:46Z,GRU
4,TRUE,2021-01-02T02:32:46Z,DNN
1,FALSE,2021-01-02T02:42:46Z,DNN
1,FALSE,2021-01-02T02:52:46Z,DNN
1,FALSE,2021-01-02T03:02:46Z,DNN
1,FALSE,2021-01-02T03:12:46Z,DNN
1,FALSE,2021-01-02T03:22:46Z,DNN
4,FALSE,2021-01-02T02:32:46Z,Isolation Forest
1,FALSE,2021-01-02T02:42:46Z,Isolation Forest
1,FALSE,2021-01-02T02:52:46Z,Isolation Forest
1,FALSE,2021-01-02T03:02:46Z,Isolation Forest
1,FALSE,2021-01-02T03:12:46Z,Isolation Forest
1,FALSE,2021-01-02T03:22:46Z,Isolation Forest
1,FALSE,2021-01-02T03:32:56Z,LSTM
1,FALSE,2021-01-02T03:42:56Z,LSTM
1,FALSE,2021-01-02T03:52:56Z,LSTM
1,FALSE,2021-01-02T04:02:56Z,LSTM
1,FALSE,2021-01-02T04:12:56Z,LSTM
1,FALSE,2021-01-02T04:22:56Z,LSTM
1,FALSE,2021-01-02T03:32:56Z,GRU
1,FALSE,2021-01-02T03:42:56Z,GRU
1,FALSE,2021-01-02T03:52:56Z,GRU
1,FALSE,2021-01-02T04:02:56Z,GRU
1,FALSE,2021-01-02T04:12:56Z,GRU
1,FALSE,2021-01-02T04:22:56Z,GRU
1,FALSE,2021-01-02T03:32:56Z,DNN
1,FALSE,2021-01-02T03:42:56Z,DNN
1,FALSE,2021-01-02T03:52:56Z,DNN
1,FALSE,2021-01-02T04:02:56Z,DNN
1,FALSE,2021-01-02T04:12:56Z,DNN
1,FALSE,2021-01-02T04:22:56Z,DNN
1,FALSE,2021-01-02T03:32:56Z,Isolation Forest
1,FALSE,2021-01-02T03:42:56Z,Isolation Forest
1,FALSE,2021-01-02T03:52:56Z,Isolation Forest
1,FALSE,2021-01-02T04:02:56Z,Isolation Forest
1,FALSE,2021-01-02T04:12:56Z,Isolation Forest
1,FALSE,2021-01-02T04:22:56Z,Isolation Forest
2,TRUE,2021-01-02T04:33:08Z,LSTM
1,FALSE,2021-01-02T04:43:08Z,LSTM
1,FALSE,2021-01-02T04:53:08Z,LSTM
1,FALSE,2021-01-02T05:03:08Z,LSTM
1,FALSE,2021-01-02T05:13:08Z,LSTM
1,FALSE,2021-01-02T05:23:08Z,LSTM
2,TRUE,2021-01-02T04:33:08Z,GRU
1,FALSE,2021-01-02T04:43:08Z,GRU
1,FALSE,2021-01-02T04:53:08Z,GRU
1,FALSE,2021-01-02T05:03:08Z,GRU
1,FALSE,2021-01-02T05:13:08Z,GRU
1,FALSE,2021-01-02T05:23:08Z,GRU
2,TRUE,2021-01-02T04:33:08Z,DNN
1,FALSE,2021-01-02T04:43:08Z,DNN
1,FALSE,2021-01-02T04:53:08Z,DNN
1,FALSE,2021-01-02T05:03:08Z,DNN
1,FALSE,2021-01-02T05:13:08Z,DNN
1,FALSE,2021-01-02T05:23:08Z,DNN
2,FALSE,2021-01-02T04:33:08Z,Isolation Forest
1,FALSE,2021-01-02T04:43:08Z,Isolation Forest
1,FALSE,2021-01-02T04:53:08Z,Isolation Forest
1,FALSE,2021-01-02T05:03:08Z,Isolation Forest
1,FALSE,2021-01-02T05:13:08Z,Isolation Forest
1,FALSE,2021-01-02T05:23:08Z,Isolation Forest
1,FALSE,2021-01-02T05:33:18Z,LSTM
1,FALSE,2021-01-02T05:43:18Z,LSTM
1,FALSE,2021-01-02T05:53:18Z,LSTM
1,FALSE,2021-01-02T06:03:18Z,LSTM
1,FALSE,2021-01-02T06:13:18Z,LSTM
1,FALSE,2021-01-02T06:23:18Z,LSTM
1,FALSE,2021-01-02T05:33:18Z,GRU
1,FALSE,2021-01-02T05:43:18Z,GRU
1,FALSE,2021-01-02T05:53:18Z,GRU
1,FALSE,2021-01-02T06:03:18Z,GRU
1,FALSE,2021-01-02T06:13:18Z,GRU
